1488691922.56255,-1,551.0,-48.0,79.0,37.212,7171.0,2860.0,171.0
1488691922.786508,8,411.0,-45.0,84.0,37.118,8138.0,428.0,7379.0
1488691923.010703,8,262.0,-45.0,94.0,36.506,193.0,-401.0,6915.0
1488691923.298279,0,115.0,-50.0,90.0,37.262,1182.0,236.0,-509.0
1488691923.521968,8,22.0,-54.0,90.0,36.506,-1.0,-48.0,-39.0
1488691923.745631,8,-36.0,-57.0,88.0,36.553,-302.0,-354.0,-253.0
1488691924.031687,0,-81.0,-56.0,85.0,37.268,-289.0,768.0,-765.0
1488691924.269831,8,-93.0,-56.0,86.0,37.165,779.0,-871.0,697.0
1488691924.494332,8,-102.0,-57.0,87.0,37.212,769.0,-282.0,259.0
1488691924.781299,3,-110.0,-58.0,87.0,38.009,-290.0,-256.0,1543.0
1488691925.005285,8,-109.0,-62.0,91.0,38.003,263.0,-768.0,259.0
1488691925.228066,8,-105.0,-63.0,90.0,37.212,-59.0,-12.0,-253.0
1488691925.45201,8,-98.0,-64.0,91.0,37.165,903.0,-1536.0,190.0
1488691925.675649,8,-92.0,-64.0,91.0,37.165,1027.0,3.0,3.0
1488691925.90011,8,-83.0,-65.0,90.0,37.262,914.0,426.0,227.0
1488691926.12213,8,-77.0,-63.0,89.0,36.553,-1.0,422.0,-253.0
1488691926.345839,8,-69.0,-63.0,88.0,37.212,255.0,183.0,-15.0
1488691926.569072,8,-62.0,-63.0,87.0,36.506,-108.0,138.0,-112.0
1488691926.856,4,-55.0,-63.0,86.0,37.165,199.0,219.0,-18.0
1488691927.079499,8,-44.0,-62.0,86.0,37.165,1281.0,-253.0,486.0
1488691927.303209,8,-37.0,-61.0,85.0,37.165,255.0,409.0,-253.0
1488691927.590839,2,-32.0,-61.0,85.0,37.165,-336.0,-256.0,-45.0
1488691927.814881,8,-24.0,-61.0,84.0,37.259,-256.0,-14.0,179.0
1488691928.036869,8,-19.0,-61.0,83.0,36.506,3.0,3.0,3.0
1488691928.324334,3,-14.0,-62.0,83.0,36.506,-38.0,-255.0,3.0
1488691928.548255,8,-8.0,-61.0,82.0,37.212,-249.0,259.0,259.0
1488691928.774323,8,-5.0,-60.0,83.0,37.165,-286.0,-32.0,-102.0
1488691929.07431,3,-2.0,-61.0,82.0,37.212,-45.0,3.0,3.0
1488691929.298184,8,1.0,-60.0,81.0,36.506,-512.0,259.0,151.0
1488691929.521283,8,4.0,-59.0,81.0,37.165,255.0,259.0,-98.0
